"","cs_code","year","state","cs_name","all_cause_deaths_2020","cens_pop_est","total_deaths_lag1","pop_lag1","covid_deaths_2020","num_counties","death_offset_2020","death_offset_lag1","all_cause_death_rate_2020","death_rate_lag1","time","time_orig_vals","fitted_deaths_2020","fitted_death_rate_2020","pred_deaths_lwr_ci_2020","pred_deaths_upr_ci_2020","pred_death_rate_lwr_ci_2020","pred_death_rate_upr_ci_2020","pred_death_std_err","pred_death_rate_std_err","covid_death_rate_2020","excess_deaths_2020","excess_assigned_covid_deaths","excess_unassigned_covid_deaths","prop_deaths_unassigned","excess_death_rate_2020","excess_assigned_covid_death_rate","excess_unassigned_covid_death_rate","prop_death_rate_unassigned"
"11","01CS011",2020,"AL","Clay+Talladega",1445,92558,1192,93213,179,2,92.558,93.213,15.6118325806521,12.7879158486477,22,22,1213.53677773615,13.1110955048311,1129,1293,12.1977570820459,13.969619049677,42.0179144667621,0.453963076846541,1.93392251345103,231.463222263846,179,52.4632222638463,0.2266589990009,2.50073707582104,1.93392251345103,0.566814562370012,0.226658999000891
"12","01CS012",2020,"AL","Coffee+Geneva",1174,78285,922,78613,134,2,78.285,78.613,14.9964871942262,11.7283400964217,22,22,958.976472619961,12.2498112361239,885,1031.05,11.3048476719678,13.1704668838219,38.037957321565,0.485890749461135,1.71169444976688,215.023527380039,134,81.0235273800391,0.376812381264845,2.74667595810228,1.71169444976688,1.0349815083354,0.376812381264839
"13","01CS013",2020,"AL","Colbert",817,55254,759,55241,88,1,55.254,55.241,14.7862598182937,13.7397947176916,22,22,773.872212489618,14.0057228886527,705.975,841,12.7769030296449,15.2206175118543,35.3827454372138,0.640365320831321,1.59264487638904,43.1277875103817,88,-44.8722124896183,NA,0.780536929640965,1.59264487638904,-0.812107946748075,NA
"14","01CS014",2020,"AL","Conecuh+Marengo+Monroe+Wilcox",1050,61505,873,62036,116,4,61.505,62.036,17.0717827818877,14.0724740473274,22,22,904.173834489162,14.7008183804433,833.975,982,13.5594667100236,15.9661816112511,37.1563751220731,0.604119585758444,1.88602552637997,145.826165510838,116,29.8261655108377,0.204532330712769,2.37096440144444,1.88602552637997,0.484938875064476,0.204532330712785
"15","01CS015",2020,"AL","Convington+Escambia",1281,73044,1030,73682,159,2,73.044,73.682,17.5373747330376,13.9789907982954,22,22,1079.7309680994,14.7819255257023,999,1163.05,13.676688023657,15.9225946005148,41.824286568296,0.572590309516128,2.17677016592739,201.269031900605,159,42.2690319006049,0.210012596083232,2.75544920733535,2.17677016592739,0.578679041407961,0.210012596083225
"16","01CS016",2020,"AL","Cullman",1259,84647,1092,83768,129,1,84.647,83.768,14.8735336160762,13.0360042020819,22,22,1117.63509701611,13.2034814821093,1034.975,1200,12.2269542925325,14.1765213179439,42.2176214223227,0.498749175072037,1.52397604167897,141.364902983892,129,12.3649029838921,0.0874679833742114,1.67005213396688,1.52397604167897,0.146076092287904,0.0874679833742253
"17","01CS017",2020,"AL","Dale",635,48421,551,49172,92,1,48.421,49.172,13.1141446892877,11.2055641421947,22,22,572.285557286381,11.8189537036902,514.975,631.025,10.6353648210487,13.0320522087524,28.8130503048162,0.595052772656826,1.90000206521964,62.7144427136187,92,-29.2855572863813,NA,1.29519098559754,1.90000206521964,-0.604811079622097,NA
"18","01CS018",2020,"AL","Dallas+Lowndes",810,46255,607,46922,145,2,46.255,46.922,17.5116203653659,12.9363624738928,22,22,674.442915281839,14.5809731981805,611.975,744.075,13.230461571722,16.0863690411847,33.4368209612696,0.722880141849953,3.13479623824451,135.557084718161,145,-9.44291528183919,NA,2.9306471671854,3.13479623824451,-0.204149071059117,NA
"19","01CS019",2020,"AL","DeKalb",1024,71326,845,71513,130,1,71.326,71.513,14.3566161007206,11.8160334484639,22,22,864.719584596734,12.1234835066699,795,939.025,11.1460056641337,13.1652553066203,36.4136987610083,0.510524896405354,1.8226172784118,159.280415403266,130,29.2804154032658,0.183829351079564,2.23313259405074,1.8226172784118,0.410515315638943,0.183829351079551
"20","01CS020",2020,"AL","Elmore",1014,82812,803,81209,102,1,82.812,81.209,12.2446022315606,9.88806659360416,22,22,875.669785126287,10.5741895513487,804,949,9.70873786407767,11.4596918321016,37.2273535300436,0.4495405681549,1.2317055499203,138.330214873713,102,36.3302148737126,0.262633979907282,1.67041268021191,1.2317055499203,0.438707130291613,0.262633979907263
"21","01CS021",2020,"AL","Fayette+Lamar+Marion",1051,59808,856,59816,162,3,59.808,59.816,17.5728999464955,14.3105523605724,22,22,841.913648722678,14.0769403545124,768.95,915,12.8569756554307,15.2989566613162,37.8419245712379,0.632723457919306,2.70866773675762,209.086351277322,162,47.0863512773219,0.225200502039795,3.49595959198309,2.70866773675762,0.787291855225468,0.225200502039806
"22","01CS022",2020,"AL","Franklin+Lawrence",987,63625,803,64286,120,2,63.625,64.286,15.5127701375246,12.4910555953085,22,22,773.673024528406,12.1598903658689,708,844,11.1277013752456,13.2652259332024,34.8392582859899,0.547571839465461,1.8860510805501,213.326975471594,120,93.3269754715943,0.437483235607122,3.35287977165575,1.8860510805501,1.46682869110565,0.437483235607129
"23","01CS023",2020,"AL","Greene+Hale+Pickens+Sumter",933,54633,768,55119,131,4,54.633,55.119,17.0775904673,13.9334893593861,22,22,690.374920937108,12.6365918206415,626.975,753,11.4761224900701,13.7828784800395,33.2641981998948,0.608866403087781,2.39781816850621,242.625079062892,131,111.625079062892,0.4600723037125,4.44099864665849,2.39781816850621,2.04318047815227,0.460072303712502
"24","01CS024",2020,"AL","Houston",1427,105390,1162,105882,179,1,105.39,105.882,13.5401840781858,10.9744810260479,22,22,1207.41460423616,11.4566334968797,1123.975,1296,10.6649112819053,12.2971818958155,43.6086626653405,0.41378368597913,1.69845336369675,219.585395763843,179,40.5853957638433,0.184827390832,2.08355058130605,1.69845336369675,0.385097217609306,0.184827390832005
"25","01CS025",2020,"AL","Jackson",897,51383,728,51626,71,1,51.383,51.626,17.4571356285153,14.1014217642273,22,22,741.816671000022,14.4370058385073,681,806.05,13.2534106611136,15.6870949535839,33.0404428218186,0.643022844555954,1.38177996613666,155.183328999978,71,84.1833289999778,0.542476627756773,3.02012979000797,1.38177996613666,1.63834982387131,0.542476627756778
"26","01CS026",2020,"AL","Jefferson",8509,658672,7237,658573,798,1,658.672,658.573,12.9184176646343,10.9889108724469,22,22,7479.74352266394,11.3557939652269,7223.925,7723,10.9674086647072,11.7251074890082,130.274410768581,0.197783435106671,1.21152865158987,1029.25647733606,798,231.256477336057,0.224683042981279,1.56262369940738,1.21152865158987,0.351095047817518,0.224683042981281
