"cs_code","year","state","cs_name","total_deaths","population","total_deaths_lag1","pop_lag1","num_counties","death_offset","death_offset_lag1","total_death_rate","death_rate_lag1","n","time","time_orig_vals","fitted_deaths","fitted_death_rate","pred_deaths_lwr_ci","pred_deaths_upr_ci","pred_death_rate_lwr_ci","pred_death_rate_upr_ci","pred_death_std_err","pred_death_rate_std_err"
"40CS016",2017,"OK","Grant+Kay",670,48782,631,49355.0000000001,2,48.782,49.3550000000001,13.7345742281989,12.784925539459,10,19,19,667.596844868896,13.685311075169,606,734.025,12.4226148989381,15.0470460415727,32.195184016773,0.659980812938645
"40CS016",2018,"OK","Grant+Kay",675,48265,670,48782.0000000001,2,48.265,48.7820000000001,13.985289547291,13.7345742281989,10,20,20,662.388096395297,13.7239841789143,599.975,727.025,12.430850512794,15.0631927898063,32.6128604950512,0.675704143686961
"40CS016",2019,"OK","Grant+Kay",679,47871,675,48264.9999999999,2,47.871,48.2649999999999,14.1839527062313,13.985289547291,10,21,21,665.703544614312,13.9061967498968,604.975,730,12.637609408619,15.2493158697332,32.0336271637988,0.669165615169911
"40CS016",2020,"OK","Grant+Kay",786,47660,679,47871,2,47.66,47.871,16.4918170373479,14.1839527062313,10,22,22,672.087620228585,14.1017125520056,612.975,737.025,12.8614141838019,15.4642257658414,31.4331027891131,0.659527964521887
"40CS017",2011,"OK","Haskell+Latimer+Pittsburg",855,69658,853,69731.0000000001,3,69.658,69.7310000000001,12.2742542134428,12.2327228922574,10,13,13,860.650896742613,12.3553776557267,786.95,936,11.2973384248758,13.4370782968216,37.1108490217499,0.532757888853396
"40CS017",2012,"OK","Haskell+Latimer+Pittsburg",837,69373,855,69658.0000000001,3,69.373,69.6580000000001,12.0652126908163,12.2742542134428,10,14,14,875.840968993573,12.6250986550037,799,956,11.5174491516873,13.7805774580889,38.7400804055674,0.558431672344679
"40CS017",2013,"OK","Haskell+Latimer+Pittsburg",908,68978,837,69373,3,68.978,69.373,13.1636173852533,12.0652126908163,10,15,15,893.178703262905,12.9487474740193,816,972,11.829858795558,14.09144944765,38.9476638647367,0.564638926393006
"40CS017",2014,"OK","Haskell+Latimer+Pittsburg",879,68453,908,68978.0000000001,3,68.453,68.9780000000002,12.8409273516135,13.1636173852532,10,16,16,891.641919857213,13.0256076411145,817,964.025,11.9351964121368,14.0830204665975,38.3177448262364,0.559767210001555
"40CS017",2015,"OK","Haskell+Latimer+Pittsburg",971,68090,879,68452.9999999999,3,68.09,68.4529999999999,14.2605375238655,12.8409273516135,10,17,17,911.184758687509,13.3820643073507,841.95,986,12.3652518725217,14.4808341900426,37.5287700915522,0.551164195793101
"40CS017",2016,"OK","Haskell+Latimer+Pittsburg",897,67580,971,68089.9999999999,3,67.58,68.0899999999999,13.273157738976,14.2605375238655,10,18,18,905.403732444094,13.3975100983145,834,986,12.3409292690145,14.5901154187629,38.5437374770364,0.570342371663752
"40CS017",2017,"OK","Haskell+Latimer+Pittsburg",975,67198,897,67580.0000000001,3,67.198,67.5800000000001,14.5093603976309,13.273157738976,10,19,19,934.087552004972,13.9005260871599,856,1016.025,12.7384743593559,15.1198696389774,39.555073946017,0.588634690705334
"40CS017",2018,"OK","Haskell+Latimer+Pittsburg",926,66681,975,67198.0000000001,3,66.681,67.1980000000001,13.8870142919272,14.5093603976309,10,20,20,930.498888148873,13.9544831083648,857.95,1009.025,12.8664837060032,15.1321215938573,37.5858336862959,0.563666317036275
"40CS017",2019,"OK","Haskell+Latimer+Pittsburg",910,66354,926,66681.0000000001,3,66.354,66.6810000000001,13.7143201615577,13.8870142919272,10,21,21,955.512579858475,14.4002257566759,882,1029,13.2923410796636,15.5077312596076,38.5529447065402,0.581019150413542
"40CS017",2020,"OK","Haskell+Latimer+Pittsburg",1005,65873,910,66354,3,65.873,66.354,15.2566301823205,13.7143201615577,10,22,22,972.378996062727,14.7614196417762,898.975,1048.025,13.6470936499021,15.9097809421159,38.1412064653261,0.579011225620908
"40CS018",2011,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1065,89279,1139,89341,4,89.279,89.341,11.9288970530584,12.7489058774807,10,13,13,1070.23953217828,11.9875842267305,991,1149.05,11.1000347226111,12.8703278486542,41.8320968076347,0.46855471956042
"40CS018",2012,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1113,89440,1065,89279.0000000001,4,89.44,89.2790000000001,12.4440966010733,11.9288970530584,10,14,14,1103.46469296652,12.3374853864772,1022.975,1184.075,11.4375559033989,13.2387634168157,41.0528329606386,0.45899857961358
"40CS018",2013,"OK","Hughes+Okfuskee+Pontotoc+Seminole",1077,89538,1113,89440,4,89.538,89.44,12.0284125175903,12.4440966010733,10,15,15,1114.62151696423,12.44858626465,1030,1196,11.5034957224865,13.3574571690232,42.5464991343423,0.475178126989013
